280.0 				// vehicle capacity (yards), real number
800.0				// total yardage allowed for a vehicle per day, real number
500				// total number of regular stops for a vehicle allowed per day
3600				// lunch time duration in second, lunch time should start between 11:00am and 12:00 pm
40				// speed: MPH
Stop_ID	X(feet)	Y(feet)	Early_St_Time (HHMM)	Late_St_Time (HHMM)	Svice_Time(Sec)	Load (Yards)	"Stop_Type(0: Depot, 1: regular stop, 2: Landfill)"
75649	5842368	6925753	400	1500	0	9999	0
1682485	5817102	6937790	0	2400	360	3	1
1682507	5843930	6923853	0	2400	300	3	1
1682520	5850321	6912173	0	2400	300	8	1
1682521	5850321	6912173	0	2400	60	8	1
1682522	5850321	6912173	0	2400	60	8	1
1682527	5848889	6902618	800	1700	360	3	1
1682528	5849426	6930035	0	2400	300	3	1
1682531	5847947	6936278	0	2400	360	3	1
1682537	5843368	6920247	0	2400	300	8	1
1682553	5843922	6932285	0	2400	300	6	1
1682554	5843922	6932285	0	2400	60	6	1
1682555	5843922	6932285	0	2400	60	6	1
1682556	5843922	6932285	0	2400	60	6	1
1682561	5843778	6927876	700	1700	300	4	1
1682562	5843778	6927876	700	1700	60	4	1
1682563	5843778	6927876	700	1700	60	4	1
1682565	5843778	6927876	700	1700	60	6	1
1682566	5843778	6927876	700	1700	60	6	1
1682567	5843778	6927876	700	1700	60	6	1
1682568	5843778	6927876	700	1700	60	6	1
1682573	5822338	6927748	0	2400	360	6	1
1682597	5841364	6937977	0	2400	300	8	1
1682598	5888153	6985104	0	2400	300	8	1
1682614	5848875	6934016	0	2400	300	4	1
1682647	5845799	6955146	0	2400	60	6	1
1682652	5849405	6940789	0	2400	300	8	1
1682653	5849405	6940789	0	2400	60	8	1
1682654	5849405	6940789	0	2400	60	8	1
1682655	5849405	6940789	0	2400	60	8	1
1682656	5849405	6940789	0	2400	60	6	1
1682657	5849405	6940789	0	2400	60	6	1
1682670	5837863	6932657	700	1700	60	6	1
1682671	5837863	6932657	700	1700	60	6	1
1682675	5837863	6932657	700	1700	60	8	1
1682678	5848511	6933491	0	2400	300	3	1
1682679	5848511	6933491	0	2400	60	6	1
1682680	5848511	6933491	0	2400	60	6	1
1682681	5848511	6933491	0	2400	60	6	1
1682682	5848511	6933491	0	2400	60	6	1
1682683	5848511	6933491	0	2400	60	6	1
1682684	5848511	6933491	0	2400	60	6	1
1682685	5848511	6933491	0	2400	60	6	1
1682701	5843722	6955455	0	2400	300	18	1
1682704	5832747	6920348	0	2400	360	6	1
1682705	5832747	6920348	0	2400	300	2	1
1682742	5862365	6934194	100	700	360	8	1
1682743	5862365	6934194	100	700	60	8	1
1682747	5844284	6924322	0	2400	300	3	1
1682749	5832030	6929149	0	2400	300	18	1
1682753	5844507	6918854	700	1700	300	4	1
1682758	5836514	6926961	100	700	300	4	1
1682759	5845973	6925184	700	1700	300	4	1
1682760	5845973	6925184	700	1700	60	4	1
1682761	5845973	6925184	700	1700	60	4	1
1682762	5845973	6925184	700	1700	60	4	1
1682763	5845973	6925184	700	1700	60	4	1
1682764	5845973	6925184	700	1700	60	4	1
1682765	5845973	6925184	700	1700	60	4	1
1682766	5845973	6925184	700	1700	60	4	1
1682767	5845973	6925184	700	1700	60	4	1
1682768	5845973	6925184	700	1700	60	4	1
1682769	5845973	6925184	700	1700	60	4	1
1682770	5845973	6925184	700	1700	60	4	1
1682796	5838169	6932649	700	1700	60	8	1
1682797	5838169	6932649	700	1700	60	8	1
1682800	5838169	6932649	700	1700	60	4	1
1682801	5838169	6932649	700	1700	60	6	1
1682825	5857289	6916712	0	2400	300	4	1
1682848	5898870	6847130	0	2400	300	4	1
1682849	5898870	6847130	0	2400	60	4	1
1682850	5898870	6847130	0	2400	60	4	1
1682851	5898870	6847130	0	2400	60	4	1
1682852	5898870	6847130	0	2400	60	4	1
1682853	5898870	6847130	0	2400	60	4	1
1682854	5898870	6847130	0	2400	60	4	1
1682855	5898870	6847130	0	2400	60	6	1
1682856	5836027	6921265	0	2400	360	3	1
1682858	5858826	6925804	0	2400	300	6	1
1682862	5815081	6940100	0	2400	300	4	1
1682869	5832295	6932876	0	2400	300	6	1
1682885	5872091	6961509	0	2400	360	4	1
1682886	5872091	6961509	0	2400	60	4	1
1682898	5834636	6924150	0	2400	60	6	1
1682900	5834636	6924150	0	2400	300	6	1
1682903	5824949	6936714	0	2400	360	2	1
1682904	5824949	6936714	0	2400	60	2	1
1682927	5826008	6887357	0	2400	300	2	1
1682933	5842816	6924613	100	700	300	6	1
1682940	5885136	6957779	0	2400	360	8	1
1682942	5832294	6935386	0	2400	300	8	1
1682953	5859582	6969464	0	2400	300	6	1
1682959	5852164	6896384	0	2400	60	8	1
1682974	5858955	6970026	0	2400	300	2	1
1683008	5862305	6939620	700	1700	360	3	1
1683009	5862305	6939620	700	1700	60	3	1
1683010	5862305	6939620	700	1700	60	3	1
1683011	5862305	6939620	700	1700	60	3	1
1683012	5862305	6939620	700	1700	60	3	1
1683013	5862305	6939620	700	1700	60	3	1
1683014	5862305	6939620	700	1700	60	3	1
1683015	5862305	6939620	700	1700	60	3	1
1683016	5862305	6939620	700	1700	60	3	1
1683017	5862305	6939620	700	1700	60	3	1
1683018	5862305	6939620	700	1700	60	3	1
1683019	5862305	6939620	700	1700	60	3	1
1683020	5862305	6939620	700	1700	60	3	1
1683021	5862305	6939620	700	1700	60	3	1
1683022	5862305	6939620	700	1700	60	3	1
1683041	5852219	6896858	0	2400	360	6	1
1683042	5852219	6896858	0	2400	60	6	1
1683046	5857685	6916847	0	2400	300	6	1
1683058	5853879	6918342	0	2400	300	3	1
1683059	5853879	6918342	0	2400	60	3	1
1683060	5853879	6918342	0	2400	60	3	1
1683061	5853879	6918342	0	2400	60	3	1
1683062	5853879	6918342	0	2400	60	6	1
1683063	5853879	6918342	0	2400	60	6	1
1683083	5848904	6933907	0	2400	300	4	1
1683096	5830994	6929050	0	2400	300	8	1
1683100	5834172	6926961	100	700	360	3	1
1683109	5847322	6932655	0	2400	300	4	1
1683110	5847322	6932655	0	2400	60	4	1
1683111	5847322	6932655	0	2400	60	4	1
1683112	5847322	6932655	0	2400	60	4	1
1683113	5847322	6932655	0	2400	60	6	1
1683118	5848143	6925582	0	2400	300	6	1
1683122	5851847	6899819	0	2400	360	4	1
1683146	5860107	6968406	0	2400	300	2	1
1683156	5837007	6921005	100	700	360	4	1
1683161	5842248	6937654	0	2400	300	6	1
1683162	5842248	6937654	0	2400	60	6	1
1683163	5842248	6937654	0	2400	60	6	1
1683164	5842248	6937654	0	2400	60	6	1
1683174	5845453	6921353	700	1700	60	4	1
1683175	5845453	6921353	700	1700	60	4	1
1683176	5845453	6921353	700	1700	60	4	1
1683177	5845453	6921353	700	1700	60	4	1
1683178	5845453	6921353	700	1700	60	4	1
1683179	5845453	6921353	700	1700	60	4	1
1683180	5845453	6921353	700	1700	60	4	1
1683181	5845453	6921353	700	1700	60	4	1
1683182	5845453	6921353	700	1700	60	4	1
1683183	5845453	6921353	700	1700	60	4	1
1683184	5845453	6921353	700	1700	60	4	1
1683185	5845453	6921353	700	1700	60	4	1
1683186	5845453	6921353	700	1700	60	4	1
1683187	5845453	6921353	700	1700	60	4	1
1683201	5853052	6934864	0	2400	300	8	1
1683204	5816799	6987179	0	2400	300	6	1
1683207	5853872	6984798	100	700	300	3	1
1683208	5853872	6984798	100	700	60	3	1
